"#","Secao","Ficha (doenca)","Fonte (USP cap.)","Doses/limiares-chave a validar","Validado (OK/Ajustar)","Ajuste sugerido","Revisor","Data"
"36","Gastrointestinais","Apendicite aguda","cap. 79","Escore de Alvarado (0–10): < 4 baixa; 5–8 intermediária (imagem); ≥ 7–9 alta (cirurgia) | US (1ª escolha em criança/gestante): apêndice não compressível, parede > 6 mm; leucócitos > 20.000 sugerem complicada | ATB ceftriaxona + metronidazol (Gram-negativos + anaeróbios); apendicectomia laparoscópica é padrão-ouro | Complicada (perfuração/abscesso): ATB 5–7 dias (carbapenêmico/piperacilina-tazobactam) | ATB isolado alternativa em não complicada sem apendicólito; NÃO na gravidez","","","",""
"37","Renais/Metabólicas","Lesão renal aguda","cap. 80","KDIGO: creatinina ↑ ≥ 0,3 mg/dL em 48 h, ou ↑ ≥ 1,5× a basal, ou débito urinário < 0,5 mL/kg/h por > 6 h | FeNa < 1% (pré-renal) vs > 2% (NTA); FeUr ≤ 35% se uso de diurético | Otimizar volemia com cristaloide balanceado; suspender nefrotóxicos; evitar dopamina renal (KDIGO 1A contra) | Diálise de urgência (AEIOU): Acidose pH < 7,1; K > 6,5 refratária; Intoxicação dialisável; Overload refratária; Uremia com complicações","","","",""
"38","Gastrointestinais","Hemorragia digestiva baixa","cap. 94 (ABRAMEDE)","Toque retal; acesso calibroso, Ringer 500 mL em 30 min (até 20 mL/kg); noradrenalina se refratário | Transfundir se Hb < 7 g/dL; NÃO usar ácido tranexâmico (HALT-IT) | Reverter anticoagulação (varfarina: vit K + CCP) | Estável → colonoscopia (escolha); instável com sangramento ativo → angio-TC (detecta ≥ 0,3 mL/min) → angiografia | Oakland ≤ 8: investigação ambulatorial","","","",""
"39","Infecciosas","ITU e pielonefrite","cap. 50","Cistite não complicada (mulher, diagnóstico clínico, 3 dias): nitrofurantoína 100 mg 6/6 h 5 d; SMX-TMP 160/800 mg 12/12 h 3 d; fosfomicina 3 g dose única | NÃO usar fluoroquinolona como 1ª linha; urocultura ≥ 10^5 UFC/mL positiva | Pielonefrite 7–14 dias: ciprofloxacina, ceftriaxona 1–2 g/dia, aminoglicosídeo 1x/dia; nitrofurantoína e fosfomicina INEFICAZES (não atingem nível tecidual) | Gestante: quinolonas contraindicadas; SMX-TMP evitar no 1º tri | Homem = ITU complicada, tratar ≥ 7 dias","","","",""
"40","Infecciosas","Celulite e erisipela","cap. 53","Classificação de Eron I–IV define via de ATB/internação | Ambulatorial (VO): cefalexina 500 mg 4x/dia 10 d; amox-clavulanato; azitromicina 500 mg 5 d | Internado (parenteral): cefazolina 1 g IV 6/6 h; oxacilina 1–2 g 4–6/6 h (evitar < 6 g/dia); penicilina G cristalina se erisipela; duração ~5 d | Fasceíte necrotizante: LRINEC ≥ 8 alto risco (em forte suspeita NÃO aplicar escore), leucócitos > 14.000, EMERGÊNCIA cirúrgica (debridamento) + carbapenêmico/betalactâmico+clindamicina ± vancomicina; mortalidade 20–40%","","","",""
"41","Infecciosas","Leptospirose","cap. 52","Leve/precoce (VO): doxiciclina 100 mg 12/12 h 5–7 d (contraindicada < 9 anos, gestante, nefro/hepatopata) ou amoxicilina 500 mg 8/8 h | Grave (IV): penicilina G cristalina 1,5 milhão UI 6/6 h; ou ceftriaxona 1–2 g/dia; mínimo 7 dias | MAT é padrão-ouro (título ≥ 800 ou aumento 4×); ELISA-IgM a partir do 5º dia; sorologia negativa < 7º dia não exclui (repetir) | Hemorragia alveolar/SDRA: PEEP alto (> 15 cmH2O) e baixo VC (~6 mL/kg); LRA: diálise precoce diária | Iniciar ATB precoce mesmo sem confirmação","","","",""
"42","Cardiovasculares","Síncope","cap. 21","ECG de 12 derivações OBRIGATÓRIO em todos | Alto risco: síncope ao esforço/decúbito, pródromo ausente/breve, cardiopatia estrutural/isquêmica, ECG anormal | Ortostática: queda PAS ≥ 20 ou PAD ≥ 10 mmHg, ou PAS < 90, em 3 min | Escores: San Francisco (IC, ECG anormal, Ht < 30%, dispneia, PAS < 90); OESIL ≥ 2 indica internação; Canadian Syncope Risk Score | Observação no DE (Canadian): ~2 h baixo risco, ~6 h médio/alto risco","","","",""
"43","Neurológicas","Cefaleia","cap. 27","Red flags: início súbito/thunderclap, primeiro episódio intenso, início > 40 anos, déficit focal, febre/rigidez, esforço/Valsalva, gestação/puerpério, imunossupressão | TC sem contraste 1º exame (98% p/ HSA nas primeiras 12 h); PL se HSA com TC normal (xantocromia ~12 h); regra de Ottawa HSA | Enxaqueca: dipirona 500–2000 mg, AINH, triptano (sumatriptana 6 mg SC); metoclopramida 10 mg; dexametasona 4 mg IV p/ prevenir recidiva (não superior a 10 mg) | Cluster: O₂ 100% 10–12 L/min 10–20 min + sumatriptana 6 mg SC | EVITAR opioides","","","",""
"44","Neurológicas","Vertigem e tontura","cap. 60","HINTS (aplicar na SVA COM nistagmo): VOR normal, nistagmo que muda de direção ou skew presente = CENTRAL (S ~96–100%) | HINTS plus (+ audição; qualquer perda sugere central): S 99,2% / E 97% — superior a TC e RM | TC de crânio NÃO exclui causa central (baixa sensibilidade p/ fossa posterior); RM com difusão falso-negativa ~12–13% nas primeiras 48 h | VPPB: Dix-Hallpike → manobra de Epley (canal posterior) | Neurite vestibular: prednisona 60–80 mg/dia 5–7 d se ≤ 72 h (decisão compartilhada); supressores vestibulares ≤ 3 dias","","","",""
"45","Hematológicas/Oncológicas","Doença falciforme — crises agudas","cap. 95","VOC: analgesia precoce alvo < 30 min; dor ≥ 8 morfina 0,10–0,15 mg/kg EV, repetir 0,05 mg/kg a cada 20–30 min; cetamina subanestésica 0,3 mg/kg EV na refratária | Hidratação 30–50 mL/kg/24 h (Ringer-lactato, evitar hiper-hidratação e SF 0,45%); O₂ só se SatO2 < 90–95%; NÃO corticoide | STA (emergência): cefalosporina 3ª/4ª (ceftriaxone 2 g/dia) + macrolídeo; O₂ alvo ≥ 95%; transfusão simples alvo Hb ≥ 10; eritrocitoaférese alvo HbS < 30% nos graves | AVC: NÃO trombólise → eritrocitoaférese alvo HbS < 30% | Priapismo > 4 h: aspiração + fenilefrina (100–500 mcg/mL)","","","",""
"46","Hematológicas/Oncológicas","Neutropenia febril","cap. 96","Neutrófilos < 500/µL (ou < 1.000 com queda prevista) + febre ≥ 38,3 °C única ou ≥ 38,0 °C por ≥ 1 h (axilar > 37,8 °C; BR ≥ 37,8 °C) | ATB antipseudomonas de amplo espectro em ≤ 1 h da chegada | Alto risco (MASCC < 21): cefepime 2 g 8/8 h; piperacilina-tazobactam 4,5 g 8/8 h; meropenem 1 g 8/8 h | Baixo risco (MASCC ≥ 21 + CISNE 1–2): ciprofloxacino 750 mg 12/12 h + amox-clavulanato 500/125 mg 8/8 h VO (ambulatorial) | Vancomicina se instabilidade/cateter/pele/pneumonia; antifúngico se febre persiste 4–7 dias","","","",""
"47","Hematológicas/Oncológicas","Emergências oncológicas","cap. 100","Lise tumoral (critérios de Cairo-Bishop): hidratação isotônica ~3 L/dia, alvo débito urinário > 100 mL/m²/h; NÃO alcalinizar de rotina | Risco intermediário: alopurinol 200–400 mg/m²/dia (máx 800 mg/dia) | Alto risco: rasburicase 0,15–0,2 mg/kg/dia (contraindicada na deficiência de G6PD) | Diálise se Ca×P ≥ 70, K refratária ou anúria | Compressão medular: dexametasona 10 mg EV + 4 mg 6/6 h; intervir em 12–24 h; RM de TODA a coluna | VCS ameaçadora à vida: stent endovascular (escolha)","","","",""
"48","Causas externas","Acidentes peçonhentos","cap. 107","Botrópico (SAB): leve 3 / moderado 6 / grave 12 ampolas EV (tempo ótimo ~6 h) | Crotálico (SAC): leve 5 / moderado 10 / grave 20; hidratação alvo DU 2–3 mL/kg/h | Laquético (SABL): 10–20 ampolas (todo acidente grave) | Elapídico/coral (SAE): 5–10 ampolas ao menor sinal neurotóxico; neostigmina se soro indisponível + insuf. respiratória | Escorpião Tityus: leve só analgesia, moderado 2–3, grave 4–6 ampolas + dobutamina | Loxosceles típica > 3 cm: 5 ampolas; cutâneo-visceral 10 + prednisona 1 mg/kg/dia | NÃO torniquete/sucção/incisão; notificação SINAN","","","",""
"49","Gineco-obstétricas","Gravidez ectópica","cap. 115 (ABRAMEDE/USP)","Zona discriminatória β-hCG > 2.000 mUI/mL (USGTV): ausência de saco tópico é muito sugestiva de ectópica; β-hCG seriado a cada 48 h (elevação < 35% sugere ectópica/inviável) | Expectante/metotrexato: íntegra ≤ 4 cm, sem BCF, β-hCG ≤ 5.000, estável (USP: massa < 3,5 cm) | Metotrexato 50 mg/m² IM (dose única/dupla/múltipla); queda β-hCG ≥ 15% entre 4º–7º dia | Cirúrgico (salpingostomia/salpingectomia VLP) se rotura/contraindicação | Anti-D se Rh-: < 12 sem 50 µg, > 12 sem 300 µg, em até 72 h","","","",""
"50","Gineco-obstétricas","Abortamento e sangramento do 1º trimestre","cap. 115 (ABRAMEDE/USP)","β-hCG seriado (cada 48 h); valor discriminatório > 2.000 mUI/mL (USGTV) p/ excluir ectópica; mola > 200.000 | Ameaça: conduta expectante (sem hCG/progesterona/repouso de rotina) | Esvaziamento — IG < 12 sem: misoprostol OU AMIU; > 12 sem: misoprostol + curetagem | Aborto séptico: clindamicina 900 mg IV 8/8 h + gentamicina 3–5 mg/kg/dia; ou cefoxitina 2 g 6/6 h + doxiciclina 100 mg 12/12 h | Anti-D Rh-: 50 µg (< 12 sem) / 300 µg (> 12 sem) em até 72 h","","","",""
"51","Gineco-obstétricas","Hemorragia da 2ª metade da gestação (DPP e placenta prévia)","cap. 115 (ABRAMEDE/USP)","Placenta prévia: sangramento vermelho-vivo INDOLOR; NÃO fazer toque vaginal/especular antes da USG (transvaginal é segura) | DPP: dor + hipertonia + sangramento escuro; diagnóstico CLÍNICO (USG normal NÃO exclui; resolver a gestação) | Fibrinogênio é o melhor preditor de gravidade/CIVD/transfusão (< 200 = VPP p/ HPP; > 400 = VPN p/ CIVD) | Transfusão se perda 500–1.000 mL; protocolo maciço se > 1.500 mL ou > 4 CH; Shock Index > 0,9 | Anti-D se Rh-; corticoide p/ maturação 25–34 sem","","","",""
"52","Gineco-obstétricas","Hemorragia pós-parto","cap. 115 (ABRAMEDE/USP)","HPP: > 1.000 mL (ABRAMEDE) ou > 500 mL em parto normal (USP), em até 24 h; 4 T (atonia 70–80%) | Profilaxia universal: ocitocina 10 UI IM pós-parto | Ácido tranexâmico 1 g IV em 10–20 min, ≤ 3 h do parto (repetir se persistir 30 min); eficácia cai ~10% a cada 15 min | Ocitocina 20–40 UI EV em 1.000 mL SF/60 min; metilergometrina 0,2 mg IM (CONTRAINDICADA em hipertensa); misoprostol 800–1.000 mcg retal / 600 mcg SL | Shock Index > 1,4 → transfusão maciça; B-Lynch / balão / histerectomia","","","",""
"53","Gineco-obstétricas","Pré-eclâmpsia, eclâmpsia e síndrome HELLP","cap. 115 (ABRAMEDE/USP)","PA ≥ 140/90 (≥ 160/110 grave, confirmar em 15 min); proteinúria ≥ 300 mg/24 h ou relação P/C ≥ 0,3 | HELLP: DHL > 600, BI > 1,2, AST/ALT > 2× LSN, plaquetas < 100.000 | MgSO4: ataque 4 g EV (15–30 min); Zuspan 1 g/h EV contínuo; Pritchard 4 g EV + 10 g IM → 5 g IM 4/4 h; manter até 24 h pós-parto | Antídoto Mg: gluconato de cálcio 1 g EV lento | Crise hipertensiva: nifedipino 10 mg VO (máx 30), hidralazina 5 mg EV (máx 30), labetalol | Corticoide maturação 24–34 sem: betametasona 12 mg 24/24 h ou dexametasona 6 mg 12/12 h","","","",""
"54","Gineco-obstétricas","Emergências do trabalho de parto","cap. 115 (ABRAMEDE/USP)","Escore de Malinas: < 5 remoção segura; 5–7 ponderar; > 7 evitar remoção (parto iminente) | Parto iminente = dilatação total (10 cm) + coroação; BCF normal 110–160 bpm | Pós-parto: ocitocina 10 UI IM; episiotomia NÃO de rotina | Distócia de ombro (ALEERTA): McRoberts, pressão suprapúbica (Rubin I), Jacquemier; NÃO tracionar polo cefálico nem comprimir fundo | Prolapso de cordão: elevar a apresentação + Trendelenburg/genupeitoral + cesárea de urgência | Pélvico: não tracionar (deflexão), Bracht/Mauriceau","","","",""
"55","Gineco-obstétricas","Infecção puerperal e sepse obstétrica","cap. 115 (ABRAMEDE/USP)","Febre puerperal: > 38 °C após as primeiras 24 h (2–10 dias) ou > 39 °C nas primeiras 24 h; EP ~10× mais frequente após cesárea | ATB EV de amplo espectro precoce (não aguardar culturas), por ≥ 24–48 h após o último pico febril | FEBRASGO 1: ampicilina-sulbactam 3 g EV 6/6 h + gentamicina 180–240 mg/dia | FEBRASGO 2: clindamicina 600 mg EV 6/6 h (ou metronidazol 500 mg 8/8 h) + gentamicina | Aborto séptico: cefoxitina 2 g 6/6 h + doxiciclina, OU clindamicina 900 mg 8/8 h + gentamicina 3–5 mg/kg/dia 10–14 d | Sepse: Shock Index > 0,9; decúbito lateral esquerdo","","","",""
"56","Gineco-obstétricas","Dor pélvica aguda: torção anexial e cisto ovariano roto","cap. 114 (ABRAMEDE/USP)","β-hCG SEMPRE em mulher em idade reprodutiva | USG transvaginal/abdominal 1ª escolha; na torção, USG com Doppler é a modalidade de escolha (avalia fluxo no pedículo) | Torção anexial / torção de cisto: cirurgia de URGÊNCIA (tempo-dependente, preservar fertilidade) | Cisto roto com líquido livre/hemorrágico ou instabilidade → cirurgia + reserva de hemoderivados; FAST se instável | Cisto simples roto, estável: manejo conservador | Líquido livre > 1,5 mL no fundo de saco → investigar com TC","","","",""
"57","Gineco-obstétricas","Doença inflamatória pélvica (DIP)","cap. 114 (ABRAMEDE/USP)","Terapia presuntiva (limiar baixo): mulher sexualmente ativa com dor pélvica + sensibilidade uterina/anexial/cervical ao toque (S > 95%) | Ambulatorial: ceftriaxona 500 mg IM dose única + doxiciclina 100 mg VO 12/12 h 14 d + metronidazol 250 mg 2 cp 12/12 h 14 d | Hospitalar: ceftriaxona 1 g IV/dia + doxiciclina + metronidazol 400 mg IV 12/12 h; OU clindamicina 900 mg IV 8/8 h + gentamicina 3–5 mg/kg/dia | Abscesso tubo-ovariano (ruptura: mortalidade 5–10%); ≥ 9 cm tende a cirurgia | Doxiciclina contraindicada na gravidez; NÃO remover DIU de rotina","","","",""
"58","Gineco-obstétricas","Sangramento uterino anormal (não gestante)","cap. 114 (ABRAMEDE/USP)","β-hCG OBRIGATÓRIO; classificação FIGO PALM-COEIN | Instável = choque hemorrágico: ressuscitação + ginecologia urgente; transfundir se instável OU Hb < 7 g/dL | Estrogênio EV altas doses = escolha na hemorragia grave instável (indisponível no Brasil) → na prática BR: ácido tranexâmico EV + AINE | Ácido tranexâmico 500–1.000 mg VO/EV 6–8/8 h (máx 3,9 g/dia); AINE reduz ~40% (cetoprofeno/naproxeno, evitar > 5–7 d) | ACO 30 mcg EE 1 cp 3x/dia até parar; balão uterino NÃO > 24 h | Amostragem endometrial se > 45 anos ou fatores de risco","","","",""
"59","Gineco-obstétricas","Trauma na gestação","cap. 115 (ABRAMEDE/USP)","Estabilizar a MÃE primeiro (ABCDE/ATLS); tolera perda de até ~30% da volemia (~2.000 mL) antes da hipotensão (sinais de choque tardios) | > 20 sem: deslocamento uterino à esquerda (mandatório fora de PCR) | E-FAST; CTG por ≥ 4 h (estender a 24 h se risco) em > 20–24 sem; taquissistolia (≥ 6 contrações/h) prediz DPP | Radiação: limite fetal ~50 mGy (TC/RX abaixo); NÃO usar gadolínio | Kleihauer-Betke se > 12 sem; anti-D 300 mcg (50 mcg no 1º tri) em até 72 h | Cesárea perimortem na PCR com útero ≥ cicatriz umbilical (regra dos 4 min — saiu do ACLS 2025, agora individualizada)","","","",""
